# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3327
#@/user_id	d2fd4d0f-a2d6-48c2-a75c-fbbe5f221165
a 	啊	c=2 d=0.0946542 t=3327
ai ren 	愛人	c=0 d=1.34729e-08 t=3327
ai shi hei bai 	爱是黑白	c=1 d=1.94079e-07 t=3327
an 	按	c=0 d=3.5449e-07 t=3327
an zhuang 	安裝	c=3 d=0.000410243 t=3327
an zhuo 	安卓	c=1 d=2.62613e-06 t=3327
ang 	昂	c=0 d=0.0115325 t=3327
ao da li ya 	澳大利亞	c=1 d=0.687289 t=3327
ao dong 	奥东	c=0 d=1.59695e-08 t=3327
ba 	把	c=4 d=0.000596002 t=3327
ba she 	跋涉	c=2 d=3.48151e-06 t=3327
bai du 	百度	c=1 d=1.53804e-06 t=3327
bai tuo 	擺脫	c=3 d=2.09918e-06 t=3327
ban ben 	版本	c=2 d=0.000500595 t=3327
bao 	包	c=0 d=2.52316e-07 t=3327
bao chi 	保持	c=1 d=0.00369786 t=3327
bao gao 	報告	c=3 d=0.269566 t=3327
bao han 	包含	c=5 d=0.133156 t=3327
bao kuo 	包括	c=1 d=0.00128115 t=3327
bao lu 	暴露	c=1 d=0.00182715 t=3327
bao zhang 	保障	c=1 d=0.00065886 t=3327
bao zhuang 	包裝	c=2 d=0.0170852 t=3327
bei 	被	c=11 d=0.197633 t=3327
bei jing 	北京	c=1 d=5.2493e-07 t=3327
bei shu 	倍數	c=1 d=0.251579 t=3327
bei zhe ge 	被這個	c=1 d=7.84998e-06 t=3327
ben 	本	c=10 d=0.104589 t=3327
ben ceng 	本層	c=1 d=0.000270565 t=3327
ben cheng 	倴城	c=1 d=0.000363402 t=3327
ben cheng xu 	本程序	c=6 d=0.00270986 t=3327
ben han shu 	本函數	c=2 d=0.0620241 t=3327
ben lai 	本來	c=1 d=0.257947 t=3327
ben shen 	本身	c=2 d=1.43944e-05 t=3327
ben sheng 	本省	c=1 d=0.00222055 t=3327
ben wen jian 	本文件	c=2 d=0.152601 t=3327
ben zhi shang 	本質上	c=0 d=8.35697e-08 t=3327
ben zhi shang de 	本質上的	c=1 d=8.39886e-07 t=3327
bi 	比	c=1 d=0.000777055 t=3327
bi ji ben 	筆記本	c=1 d=0.579842 t=3327
bi jiao 	比較	c=1 d=0.00105946 t=3327
bi xu 	必須	c=1 d=0.247833 t=3327
bi ye lun wen 	畢業論文	c=1 d=0.416862 t=3327
bian 	邊	c=1 d=8.31387e-05 t=3327
bian cheng 	編程	c=4 d=0.00680289 t=3327
bian cheng 	變成	c=1 d=0.318224 t=3327
bian hua 	變化	c=1 d=8.44096e-07 t=3327
bian ji 	編輯	c=2 d=2.36637e-07 t=3327
bian ji qi 	編輯器	c=1 d=1.56533e-07 t=3327
bian kuang 	邊框	c=1 d=0.135335 t=3327
bian liang 	變量	c=6 d=0.716897 t=3327
bian ma 	編碼	c=1 d=0.524663 t=3327
bian wei 	變爲	c=3 d=0.00979511 t=3327
bian xie 	編寫	c=1 d=8.33681e-08 t=3327
bian yi 	編譯	c=10 d=0.0306763 t=3327
bian yi qi 	編譯器	c=2 d=2.03129e-06 t=3327
biao 	飆	c=2 d=0.123929 t=3327
biao da 	表達	c=3 d=4.04086e-06 t=3327
biao ming 	表明	c=1 d=0.00130051 t=3327
biao shi 	表示	c=6 d=0.453471 t=3327
biao ti 	標題	c=1 d=1.58079e-05 t=3327
biao zhu 	標註	c=1 d=7.9084e-05 t=3327
biao zhun 	標準	c=1 d=0.00505221 t=3327
biao zhun ku 	標準庫	c=1 d=0.00802655 t=3327
bie zai 	別再	c=0 d=1.89287e-08 t=3327
bie zai si xiang nei rong qing zhu yi 	別再思想內容請注意	c=1 d=1.90236e-07 t=3327
bing 	並	c=6 d=0.232589 t=3327
bing 	冰	c=1 d=4.74977e-07 t=3327
bing qie 	並且	c=1 d=0.0596059 t=3327
bing zai 	並在	c=1 d=0.0015648 t=3327
bu 	不	c=4 d=0.472371 t=3327
bu duan 	不斷	c=1 d=0.0590129 t=3327
bu dui 	不對	c=1 d=0.000642592 t=3327
bu guan 	不管	c=1 d=2.96095e-06 t=3327
bu shi 	不是	c=1 d=0.00442715 t=3327
bu shu xi 	不熟悉	c=1 d=0.00166989 t=3327
bu tai hao 	不太好	c=0 d=0.000810722 t=3327
bu tai hao yong 	不太好用	c=1 d=0.00814786 t=3327
bu tiao xuan 	不挑選	c=1 d=4.4279e-05 t=3327
bu yong 	不用	c=2 d=0.011738 t=3327
bu yun xu 	不允許	c=2 d=0.00240874 t=3327
bu zhi dao 	不知道	c=4 d=0.00798852 t=3327
cai fa 	財閥	c=1 d=5.30116e-05 t=3327
cai liao 	材料	c=1 d=2.41213e-06 t=3327
cai neng 	才能	c=1 d=0.00129402 t=3327
